id,CH4_x,CH4_y,CH3O2NO2_x,CH3O2NO2_y,H2_x,H2_y,N2O5_x,N2O5_y,H2O2_x,H2O2_y,CH3OH_x,CH3OH_y,HONO_x,HONO_y,CO_x,CO_y,HO2NO2_x,HO2NO2_y,CH3O_x,CH3O_y,CH3NO3_x,CH3NO3_y,HNO3_x,HNO3_y,CH3OOH_x,CH3OOH_y,HCHO_x,HCHO_y,CH3O2_x,CH3O2_y,NO3_x,NO3_y,OH_x,OH_y,NO2_x,NO2_y,NO_x,NO_y,O3_x,O3_y,HO2_x,HO2_y,
#92,254.94754092580385,195.02865071826537,328.0077007464663,134.08503976932647,185.8750323158714,321.099341156641,548.8584878978434,429.65773154843606,250.92426965372636,295.08718918472675,352.7411251978904,300.60378829074205,369.62987461237725,281.4262119441764,271.70678033394137,358.5915524461708,354.97723836984284,128.8106481795638,289.8139597216048,372.95261733441,382.5371177740995,252.7400872707863,483.51647863379605,397.74727906872266,359.4544818369952,335.22856866028826,395.57925854699687,309.0950216147597,340.34787141834096,273.01983975447183,338,449,389.90995627390987,354.87322200687726,431,240,295,267,479.0094530841795,354.26157848336607,316.46134780307085,292.7334375263399,
#93,386.02242668071904,478.4966553601307,549.6029020902307,311.50807439168983,463.60865013244177,462.251750940305,554.1547552579042,429.03846196185486,474.6644638175625,293.20045824945583,388.2420835345769,357.25230379859363,339.0123232109562,224.98759739193883,376.0218763444495,268.48191413643195,567.7616182526228,246.3755841997082,286.14035693912905,348.3092168128773,373.0856662294523,301.0453820716007,462.66422151786423,374.48153365142576,361.8254805921445,341.5035152964162,351.17717069198034,377.6218538060243,408.9041645176413,362.1014205259651,338,449,329.43438702397475,330.7637746680179,431,240,295,267,482.16216781657573,402.44603520631483,427.9836040214372,333.2506083578678,
#94,519.7828787043501,251.78891207305952,333.17130575158154,166.390439962002,409.84079942801947,508.4052489527093,552.1778432996383,430.0390964515278,416.3354709172371,439.83692837491134,399.9067076737866,333.1654595186493,340.37992670789026,218.47648381963828,465.3263058391368,355.4974833451258,279.3567699851442,301.50957250847773,302.71137804691824,356.32221649254535,377.8602104230672,252.27544925939668,457.2810604756037,388.08667446845703,370.13367920118355,339.1496177578807,376.4333172735548,288.9912131966362,421.7300319183192,311.80335187980563,338,449,345.1565783096104,317.9077661506193,431,240,295,267,505.9638788159533,362.3907636951331,415.4181139579759,375.5954982194126,
#95,282.9001999289417,434.3553406840403,312.66647238724534,173.57313638227308,208.4700916732994,305.4556809643363,208.98429722092445,257.0542587750873,348.1263134722127,226.25605828016666,360.73050286770336,341.32782502926807,368.7435472809119,298.6340577426401,439.94457283906854,294.17107611713874,500.88739517399847,360.97864388921084,260.2871740442492,370.5163869388872,386.2485871935382,295.165089699517,297.73376047547856,306.3043110782342,394.5015446676959,342.492384796822,376.5227032453812,380.24521897895755,341.50225891327653,329.40956549868855,338,449,419.61849515505,363.4760215989359,431,240,295,267,264.30857303549465,320.9396949759061,344.3047970728713,292.4433113722097,
#96,244.86655813096257,429.714481427792,486.58589288979687,361.54001682791136,242.57382405906424,187.67813134983342,552.1113822267681,424.6386286682079,317.44490418124866,222.2721176195089,348.0087718036288,335.1661043763631,365.9574239840743,264.58057439699974,272.25003101931117,350.88949704924227,457.2933726158734,388.0941929212584,416.44888986937775,315.019724779142,375.3818613678099,298.8811049282027,287.63627455842334,303.4900698109059,374.6455393183089,340.28065423218857,370.37073641184685,381.1893621913555,326.43226320209294,343.92343032466584,338,449,405.2053721255764,350.7237452009573,431,240,295,267,249.471880287459,310.73183927112547,329.50591908337003,288.2806431420184,
#97,345.71919669127914,136.83906451756164,500.6803867920002,331.2840532184519,200.4119153999878,383.51749583951266,200.69173901002455,277.87632835105774,243.41780420434665,318.2706467611542,350.81070871598007,283.12416663479075,343.85208224948263,311.80974610512317,289.6618290748655,365.32909379184497,430.75147641140336,396.1267325196878,353.04664961524793,365.4713748117182,381.6046772715544,232.15279334343427,482.857609513033,391.4748887698883,372.96149041271553,306.47398936893626,400.5478675925728,278.05295877982155,345.97710238012996,251.73702124595076,338,449,399.56543271351387,334.13416269941376,431,240,295,267,286.6250225754693,224.30829835673072,306.0559186788592,300.93553465962475,
#98,261.8560541223414,181.92430781576294,455.7044973931266,369.16762012788035,176.69161094750717,347.35541050259127,549.6717515490792,427.27274123723896,236.1452242911286,306.09957291162135,342.85858386701574,301.310232105471,366.72147006885547,273.84269243810303,270.6551249960669,367.7226008746761,324.9272653374238,140.3989172697513,294.6285798155294,375.6967292814108,381.86775130984506,249.7020348720075,484.30658477102895,392.8529520201849,355.4690188962989,333.0121938508891,390.21916518697583,303.0988385489624,338.0007572718684,271.664071301943,338,449,390.61917888258813,346.85575678497815,431,240,295,267,291.78803353235776,225.356955972933,301.6953677285149,300.4992966010293,
#99,577.7591008768314,280.44307222642686,551.7576754254461,181.74825938040928,505.20756976097465,487.6568535766853,553.020047895585,423.9999784910353,430.41168544957844,420.30507480740863,447.09402507368463,326.9162722193751,347.4327810491806,226.45003792392563,449.5716838817893,427.81956813219836,310.4682038206401,356.18164415666524,348.7957924851537,348.83747286330697,389.17765327200203,263.80754335739704,276.8961775163151,313.191781019445,416.2392684759508,331.06021639822825,419.304225194725,289.2597283163817,469.3623599734257,305.3683297122191,338,449,378.1159475890465,326.3293554792673,431,240,295,267,298.78305551709866,297.9054704554936,460.24907122678974,364.8825100483676,
#100,469.6097274743578,293.9711557054283,339.2436770416769,128.04899676760877,193.36240949293958,246.78281545918284,544.8979409390145,429.7786797687259,276.65719597676053,227.8519035516755,369.3877314382284,286.2449523279895,353.0270744860454,310.5533357478654,289.9205670246126,354.3170931574511,371.56171254627793,115.84105984987745,313.16872130871025,368.2259858803346,386.0917233571808,247.83164522697126,288.882600146507,317.42213657162165,377.6296365474645,324.18712738344794,410.6032498928274,300.8197583025597,351.7094657228726,268.9429798402395,338,449,403.27846759083695,352.462431203199,431,240,295,267,252.7468606782568,330.63501499053984,323.716259172239,275.8186124885864,
#101,224.81746335944058,261.43439676769987,489.0215306702972,351.36236293836004,175.58024086009868,351.19043523991286,553.0978836288042,425.58400624667394,240.08299939115795,321.7789215962471,332.3622696172062,342.361785856455,362.19515894191295,234.19378716411714,352.90987930746087,263.80979475844407,432.9539820240419,396.50287759164314,253.90671597373603,383.15729784646993,380.4349226314182,289.73697908632266,486.5825276317568,400.7097217620033,371.4504418562802,334.4383109653395,370.1298877417625,366.44640585409195,332.7251003095093,313.64539030690713,338,449,408.6289474657883,331.2327076018075,431,240,295,267,297.6611422154181,224.0005516962593,303.44280421735795,312.0816255140632,
